Type,carbon_12_13,nitrogen_14_15
M,65.82,348
M,65.85,727
M,65.9,703
M,65.87,4355.43
M,65.9,2032
M,65.9,770
M,65.91,2655
M,66.03,558
M,66.07,1828
M,66.1,1640
M,66.13,398
M,66.14,551
M,66.16,622
M,66.16,1763.68
M,66.20,414
M,66.24,431
M,66.28,793.18
M,66.3,2323
M,66.30,1094
M,66.32,600
M,66.34,660.29
M,66.35,4454
M,66.41,495
M,66.42,1209
M,66.4,876
M,66.52,368.91
M,66.5,3381
M,66.55,963
M,66.56,751.08
M,66.6,1863
M,66.64,591
M,66.7,1330
M,66.7,521
M,66.7,1344
M,67.0,13101
X,67,64
M,67.0,769
M,67.11,410.32
M,67.1,1559
M,67.12,2331
M,67.17,1623
M,67.21,3727
M,67.2,1938
M,67.4,332
M,67.41,1009
M,67.4,1473
M,67.4,620
M,67.4,922
M,67.48,328
M,67.49,361
M,67.50,463
M,67.5,1900
M,67.61,931
M,67.6,3773
M,67.65,586
M,67.7,307
M,67.78,813
M,67.83,1029
M,67.97,657
X,68,86
M,68,330
M,68.00,5622
M,68.01,701
M,68.1,1368
M,68.14,2097
M,68.14,417
M,68.16,1318
M,68.16,1041.68
M,68.2,650
M,68.3,407
M,68.33,788
M,68.4,3641
M,68.36,1433
M,68.41,1871
M,68.42,728
M,68.43,653
M,68.45,366
M,68.48,979
M,68.55,1385
M,68.6,1040
M,68.68,457
M,68.7,543
M,68.7,2547
M,68.7,1081
M,68.74,2729
M,68.8,4587
M,68.83,3074
M,68.9,1363
M,68.9,1480
M,68.9,2623
M,68.9,415
M,69.0,463
M,68.96,906.30
M,68.99,1104
M,69,851
M,69,1161
M,69.11,450
M,69.1,1413
M,69.1,2922
M,69.2,1899
M,69.31,728
M,69.4,314
M,69.4,524
M,69.4,7091
M,69.45,618
M,69.49,366
M,69.49,620
M,69.50,3984
M,69.5,2915
M,69.5,3533
Z,69.64,1180
M,69.7,1367
M,69.8,1660
M,69.8,3730
M,69.9,16388
M,69.93,1184
M,70.0,1990
M,70.0,1040
M,70,274
M,70,1681
M,70.1,4016
M,70.21,1065.24
M,70.35,310
M,70.4,354
M,70.5,2531
M,70.6,2185
M,70.6,4920
M,70.64,590
